UID,paperKey,taxon,diversityMetric,siteCode,Region,season(month),dataLocation,statisticalTest,timeSinceLastFire,sampleSize,statisticalParameter,SE,SD,effectSize,upperCI,lowerCI
,39,Carabidae,richness,MinhoUnburnt99,Portugal,Feb/March,Figure 1,N/A,N/A,350,0.08,0.09,N/A,N/A,N/A,N/A
,39,Carabidae,richness,MinhoBurn98,Portugal,Feb/March,Figure 1,N/A,1,350,0.045,0.005,N/A,-0.02,0.09,-0.12
,39,Carabidae,richness,MinhoBurn99,Portugal,Feb/March,Figure 1,N/A,1,350,0.06,0.06,N/A,-0.01,0.13,-0.16
,39,Carabidae,abundance,MafraUnburnt98,Portugal,Feb/March,Figure 1,N/A,N/A,700,0.5,0.2,N/A,N/A,N/A,N/A
,39,Carabidae,abundance,MafraBurn98,Portugal,Feb/March,Figure 1,N/A,1,700,0.2,0.1,N/A,-0.07,0.03,-0.18
,39,Carabidae,abundance,MafraUnburnt99,Portugal,Feb/March,Figure 1,N/A,N/A,350,0.5,0.1,N/A,N/A,N/A,N/A
,39,Carabidae,abundance,MafraBurn99,Portugal,Feb/March,Figure 1,N/A,1,350,0.5,0.3,N/A,0,0.15,-0.15
,39,Carabidae,richness,MafraUnburnt98,Portugal,Feb/March,Figure 1,N/A,N/A,700,0.075,0.025,N/A,N/A,N/A,N/A
,39,Carabidae,richness,MafraBurn98,Portugal,Feb/March,Figure 1,N/A,1,700,0.045,0.03,N/A,-0.04,0.06,-0.15
,39,Carabidae,richness,MafraUnburnt99,Portugal,Feb/March,Figure 1,N/A,N/A,350,0.015,0.01,N/A,N/A,N/A,N/A
,39,Carabidae,richness,MafraBurn99,Portugal,Feb/March,Figure 1,N/A,1,350,0.01,0.01,N/A,-0.03,0.12,-0.18
,40,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,41,,,,"Quebec, Canada",Spring,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,42,,,,"New Mexico, US",June,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,45,Carabidae,abundance,Burn,"Quebec, Canada",No,,N/A,2,15/17,N/A,N/A,N/A,-0.19,0.54,-0.91
,46,,,,Spain,No,"vms - somewhat confusing, but two fdifferent fires and they give us time frame of sampling after fires",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,47,Carabidae,abundance,Burn,Hungary,June,Table 2,GLM,N/A,20,103.6,N/A,38.89,0.55,1.2,-0.11
,47,Carabidae,abundance,Control,Hungary,June,Table 2,GLM,N/A,20,32,N/A,14.58,N/A,N/A,N/A
,47,Carabidae,richness,Burn,Hungary,June,Table 2,GLM,N/A,20,9.8,N/A,1.69,0.14,0.79,-0.5
,47,Carabidae,richness,Control,Hungary,June,Table 2,GLM,N/A,20,8.4,N/A,2.55,N/A,N/A,N/A
,51,Carabidae,abundance,Burn,Finland,June/July/Aug,Table 2,ANOVA,7,24,9.66,N/A,N/A,1.2689,2.1458,0.3919
